Name,Year,Miles,Price,model_avg_price,model_listing_count,Age,AgeBand,MileageBand,price_zscore
Chevrolet Trax,2018,41946,16990,18076.951219512193,82,5,4-6,40-60k,-0.6043355481268082
GMC Terrain,2020,45328,23990,21643.57627118644,59,3,2-4,40-60k,0.278340066370546
Jeep Wrangler,2012,81068,21590,26477.5,32,11,10-15,80-100k,-0.02429157288568976
Jeep Renegade,2019,35372,21590,20176.3661971831,71,4,2-4,20-40k,-0.02429157288568976
BMW X,2017,68992,22990,28257.918032786885,61,6,4-6,60-80k,0.15224355001378106
Buick Encore,2019,47973,18590,18820.149425287356,87,4,2-4,40-60k,-0.4025811219559844
Jeep Compass,2016,57159,17590,20590.543103448275,116,7,6-8,40-60k,-0.5286776383127493
Jeep Compass,2017,47619,18590,20590.543103448275,116,6,4-6,40-60k,-0.4025811219559844
Jeep Patriot,2015,51472,17590,16252.5,48,8,6-8,40-60k,-0.5286776383127493
Jeep Compass,2016,33218,17990,20590.543103448275,116,7,6-8,20-40k,-0.47823903177004334
Jeep Compass,2016,73580,16590,20590.543103448275,116,7,6-8,60-80k,-0.6547741546695142
Jeep Compass,2016,98915,14990,20590.543103448275,116,7,6-8,80-100k,-0.856528580840338
Jeep Patriot,2015,82715,14990,16252.5,48,8,6-8,80-100k,-0.856528580840338
Jeep Patriot,2016,92267,15990,16252.5,48,7,6-8,80-100k,-0.7304320644835731
Jeep Patriot,2014,100574,14590,16252.5,48,9,8-10,100-130k,-0.9069671873830439
Jeep Patriot,2016,99075,15590,16252.5,48,7,6-8,80-100k,-0.780870671026279
Jeep Patriot,2016,71526,16990,16252.5,48,7,6-8,60-80k,-0.6043355481268082
Jeep Compass,2017,88499,16590,20590.543103448275,116,6,4-6,80-100k,-0.6547741546695142
Chrysler Sebring,2010,65923,11990,11990.0,2,13,10-15,60-80k,-1.2348181299106327
Jeep Patriot,2014,93942,14590,16252.5,48,9,8-10,80-100k,-0.9069671873830439
Jeep Compass,2015,70735,17590,20590.543103448275,116,8,6-8,60-80k,-0.5286776383127493
Jeep Patriot,2017,55386,17590,16252.5,48,6,4-6,40-60k,-0.5286776383127493
Subaru Legacy,2016,87336,16990,20081.428571428572,21,7,6-8,80-100k,-0.6043355481268082
Subaru XV Crosstrek,2014,83087,18990,18790.0,8,9,8-10,80-100k,-0.35214251541327846
Mitsubishi Eclipse Cross,2018,85475,16990,21140.0,8,5,4-6,80-100k,-0.6043355481268082
Toyota Corolla,2020,37726,22990,18560.486988847584,269,3,2-4,20-40k,0.15224355001378106
Nissan Pathfinder,2018,98398,18990,22727.11111111111,36,5,4-6,80-100k,-0.35214251541327846
Lincoln MKC,2015,74004,18990,23724.125,24,8,6-8,60-80k,-0.35214251541327846
Lexus ES,2014,100373,20990,26148.61111111111,36,9,8-10,100-130k,-0.09994948269974868
Dodge Grand Caravan Passenger,2020,75402,19990,18365.342465753423,73,3,2-4,60-80k,-0.22604599905651357
Ford Escape,2017,73047,15990,19376.448,125,6,4-6,60-80k,-0.7304320644835731
Mitsubishi Mirage G,2019,24065,15990,16790.0,16,4,2-4,20-40k,-0.7304320644835731
Toyota C-HR,2019,48626,23990,23407.366666666665,30,4,2-4,40-60k,0.278340066370546
Toyota Yaris,2020,33075,20990,16685.238095238095,21,3,2-4,20-40k,-0.09994948269974868
MAZDA CX-,2016,66644,18590,23001.7,140,7,6-8,60-80k,-0.4025811219559844
Nissan Rogue Sport,2019,72150,18990,20399.048387096773,62,4,2-4,60-80k,-0.35214251541327846
Dodge Grand Caravan Passenger,2013,79773,14990,18365.342465753423,73,10,8-10,60-80k,-0.856528580840338
Volkswagen Atlas,2018,95454,22990,31290.0,10,5,4-6,80-100k,0.15224355001378106
Toyota Yaris,2017,65338,16990,16685.238095238095,21,6,4-6,60-80k,-0.6043355481268082
MAZDA MAZDA,2013,100316,12990,17840.6338028169,142,10,8-10,100-130k,-1.1087216135538678
